ID|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4
155|Dark web forms are breeding grounds for crime.|ダークウェブの掲示板は犯罪の温床になっている。|Dark web forms are^S+V^core^ダークウェブの掲示板は～だ|breeding grounds^Complement^core^繁殖地（温床）|for crime.^Preposition^modifier^犯罪のための|
156|I'm not sold on what this ad is saying.|この広告が言っていることには納得できないな。|I'm not sold^S+V (Passive)^core^私は納得していない（買わない）|on what this ad is saying.^Preposition^modifier^この広告が言っていることに||
157|What are young people interested in nowadays?|最近の若者は何に興味があるのですか？|What are ... interested in^Wh-Question^core^何に興味がありますか|young people^Subject^core^若者たちは|nowadays?^Adverb^modifier^最近|
158|She never fails to email every week.|彼女は毎週欠かさずメールをしてくる。|She never fails^S+V^core^彼女は決して怠らない|to email^Infinitive^modifier^メールすることを|every week.^Adverb^modifier^毎週|
159|Let me draw a diagram to illustrate my point.|私の言いたいことを説明するために図を描かせてください。|Let me draw^S+V+O^core^私に描かせて|a diagram^Object^core^図を|to illustrate my point.^Infinitive^modifier^要点を説明するために|
160|I can't figure out why I can't get a girlfriend.|なぜ彼女ができないのか分からない。|I can't figure out^S+V^core^私は理解できない|why I can't get^Clause^connector^なぜ私が得られないのか|a girlfriend.^Object^core^ガールフレンドを|
162|I feel uncomfortable when I get praised too much.|褒められすぎると居心地が悪く感じる。|I feel uncomfortable^S+V+C^core^私は居心地悪く感じる|when I get praised^Conjunction^connector^私が褒められる時|too much.^Adverb^modifier^あまりにも多く|
163|Artificial Intelligence (AI)|人工知能（AI）|Artificial Intelligence^Noun^core^人工知能|||
164|Going through hardship makes you stronger.|困難を乗り越えることは、あなたを強くします。|Going through hardship^Subject(Gerund)^core^困難を経験することは|makes you^Verb+Object^core^あなたを～にする|stronger.^Adjective(Comp)^core^より強く|
165|I don't want to go to the beach, but I'll follow the majority.|ビーチには行きたくないけど、多数派に従うよ。|I don't want to go^S+V^core^行きたくない|to the beach,^Preposition^modifier^ビーチへ|but^Conjunction^connector^しかし|I'll follow the majority.^Clause^core^私は多数派に従う
166|My rent includes all utilities costs.|私の家賃にはすべての光熱費が含まれています。|My rent includes^S+V^core^私の家賃は含む|all utilities costs.^Object^core^全ての光熱費を||
168|Your observation is very interesting.|あなたの観察（着眼点）はとても興味深いですね。|Your observation is^S+V^core^あなたの観察は～だ|very interesting.^Adjective^core^とても興味深い||
169|The exploitation of natural resources.|天然資源の搾取。|The exploitation^Noun^core^搾取|of natural resources.^Preposition^modifier^天然資源の||
170|I quit my job and I feel great now.|仕事を辞めて、今は最高の気分だ。|I quit my job^Clause 1^core^私は仕事を辞めた|and^Conjunction^connector^そして|I feel great now.^Clause 2^core^今は最高の気分だ|
172|Let's drop off her stuff at the hotel and head to the beach.|ホテルに彼女の荷物を置いて、ビーチに向かおう。|Let's drop off^Verb^core^降ろそう（置こう）|her stuff at the hotel^Object+Prep^core^ホテルで彼女の荷物を|and head^Verb^core^そして向かおう|to the beach.^Preposition^modifier^ビーチへ
174|The football match yesterday was extraordinary.|昨日のサッカーの試合は並外れていた（すごかった）。|The football match yesterday^Subject^core^昨日のサッカーの試合は|was extraordinary.^V+C^core^並外れていた||
175|I have two male dogs and one female dog.|私はオス犬を2匹とメス犬を1匹飼っています。|I have^S+V^core^私は飼っている|two male dogs^Object^core^2匹のオス犬と|and one female dog.^Object^core^1匹のメス犬を|
176|How about we order a few dishes to share?|シェアするためにいくつか料理を頼むのはどう？|How about we order^Phrase^core^私たちが注文するのはどう？|a few dishes^Object^core^いくつかの料理を|to share?^Infinitive^modifier^シェアするための|
177|Is Egypt good for a solo traveler?|エジプトは一人旅に向いていますか？|Is Egypt good^S+V+C^core^エジプトは良いですか|for a solo traveler?^Preposition^modifier^一人旅の旅行者にとって||
178|It's crazy how much our team has achieved already this year.|今年すでに私たちのチームがこれほど達成したなんて驚きだ。|It's crazy^S+V+C^core^クレイジーだ（すごい）|how much our team has achieved^Clause^connector^チームがどれだけ達成したか|already this year.^Adverb^modifier^今年すでに|
180|Some genetic disorders are not hereditary.|遺伝性疾患の中には、遺伝しないものもある。|Some genetic disorders^Subject^core^いくつかの遺伝性疾患は|are not hereditary.^V+C^core^遺伝的ではない||
181|25th September 2003.|2003年9月25日。|25th September^Date^core^9月25日|2003.^Year^modifier^2003年の||
182|I finally establish my own company.|ついに自分の会社を設立する。|I finally establish^S+V^core^私はついに設立する|my own company.^Object^core^私自身の会社を||
183|Be patient. Good things take time.|焦らないで。良いことは時間がかかるものだ。|Be patient.^Imperative^core^忍耐強くあれ|Good things take time.^S+V+O^core^良いことは時間を要する||
184|He went to the hair salon to get a complete makeover.|彼は完全にイメージチェンジするために美容院へ行った。|He went^S+V^core^彼は行った|to the hair salon^Preposition^modifier^美容室へ|to get a complete makeover.^Infinitive^modifier^完全なイメチェンをするために|
185|Extend one's condolences to somebody.|誰かにお悔やみを申し上げる。|Extend one's condolences^Verb+Object^core^お悔やみを述べる|to somebody.^Preposition^modifier^誰かに||
186|You should assert yourself more in the workplace.|職場ではもっと自己主張すべきだよ。|You should assert yourself^S+V+O^core^あなたは自己主張すべきだ|more^Adverb^modifier^もっと|in the workplace.^Preposition^modifier^職場で|
187|I'm not going to take the training if it's not compulsory.|強制でないなら、その研修は受けないつもりだ。|I'm not going to take^S+V^core^私は受けるつもりはない|the training^Object^core^その研修を|if it's not compulsory.^Clause(If)^modifier^もしそれが強制でないなら|
189|The future of this nation looks bright.|この国の未来は明るいようだ。|The future of this nation^Subject^core^この国の未来は|looks bright.^V+C^core^明るく見える||
190|Tattoo tights are out of fashion now.|タトゥータイツはもう流行遅れだ。|Tattoo tights are^S+V^core^タトゥータイツは～だ|out of fashion now.^Idiom^core^今や流行遅れの||
191|Ultimately, it's you who decides what you do.|結局のところ、何をするかを決めるのはあなた自身だ。|Ultimately,^Adverb^modifier^結局のところ|it's you who decides^Cleft Sentence^core^決めるのはあなただ|what you do.^Clause^connector^あなたが何をすべきか|
192|I don't know why, but I love collecting comic books.|なぜか分からないけど、漫画本を集めるのが大好きなんだ。|I don't know why,^Clause^modifier^なぜか分からないが|but^Connector^connector^しかし|I love collecting comic books.^S+V+O^core^漫画本を集めるのが大好きだ|
194|I really admire how patient you are with David.|あなたがデビッドに対してどれほど忍耐強いか、本当に感心するよ。|I really admire^S+V^core^私は本当に感心する|how patient you are^Clause^connector^あなたがどれほど忍耐強いか|with David.^Preposition^modifier^デビッドに対して|
